LOCATION_ID,LOCATION_ATTR_NAME,LOCATION_ATTR_VALUE
5637144625,attrib_2,120
5637144625,attrib_1,1
5637144625,attrib_11,6
5637144625,attrib_14,184
5637144625,attrib_15,190
5637144625,attrib_13,162
5637144625,attrib_12,94
5637144625,attrib_18,98
5637144625,attrib_9,127
5637144625,attrib_20,22
5637144625,attrib_17,141
5637144625,attrib_16,141
5637144625,attrib_8,160
5637144625,attrib_10,176
5637144625,attrib_21,208
5637144625,attrib_19,111
5637144625,STORE_LOCATION_ATTRIB17,251
5637144625,STORE_LOCATION_ATTRIB18,251
5637144625,STORE_LOCATION_ATTRIB19,251
5637144625,STORE_LOCATION_ATTRIB20,251
5637144625,STORE_LOCATION_ATTRIB21,251
5637144767,attrib_2,120
5637144767,attrib_1,1
5637144767,attrib_11,6
5637144767,attrib_14,184
5637144767,attrib_15,190
5637144767,attrib_13,162
5637144767,attrib_12,94
5637144767,attrib_18,74
5637144767,attrib_9,63
5637144767,attrib_20,17
5637144767,attrib_17,75
5637144767,attrib_16,74
5637144767,attrib_8,74
5637144767,attrib_10,176
5637144767,attrib_21,208
5637144767,attrib_19,111
5637144767,STORE_LOCATION_ATTRIB17,251
5637144767,STORE_LOCATION_ATTRIB18,251
5637144767,STORE_LOCATION_ATTRIB19,251
5637144767,STORE_LOCATION_ATTRIB20,251
5637144767,STORE_LOCATION_ATTRIB21,251
5637144813,attrib_2,120
5637144813,attrib_1,2
5637144813,attrib_11,11
5637144813,attrib_14,184
5637144813,attrib_15,190
5637144813,attrib_13,162
5637144813,attrib_12,94
5637144813,attrib_18,106
5637144813,attrib_9,127
5637144813,attrib_20,22
5637144813,attrib_17,141
5637144813,attrib_16,141
5637144813,attrib_8,160
5637144813,attrib_10,176
5637144813,attrib_21,208
5637144813,attrib_19,111
5637144813,STORE_LOCATION_ATTRIB17,251
5637144813,STORE_LOCATION_ATTRIB18,251
5637144813,STORE_LOCATION_ATTRIB19,251
5637144813,STORE_LOCATION_ATTRIB20,251
5637144813,STORE_LOCATION_ATTRIB21,251
5637145298,attrib_2,120
5637145298,attrib_1,1
5637145298,attrib_11,27
5637145298,attrib_14,184
5637145298,attrib_15,190
5637145298,attrib_13,162
5637145298,attrib_12,94
5637145298,attrib_18,106
5637145298,attrib_9,127
5637145298,attrib_20,25
5637145298,attrib_17,141
5637145298,attrib_16,141
5637145298,attrib_8,160
5637145298,attrib_10,176
5637145298,attrib_21,210
5637145298,attrib_19,111
5637145298,STORE_LOCATION_ATTRIB17,251
5637145298,STORE_LOCATION_ATTRIB18,251
5637145298,STORE_LOCATION_ATTRIB19,251
5637145298,STORE_LOCATION_ATTRIB20,251
5637145298,STORE_LOCATION_ATTRIB21,251
5637145506,attrib_2,120
5637145506,attrib_1,2
5637145506,attrib_11,5
5637145506,attrib_14,184
5637145506,attrib_15,190
5637145506,attrib_13,162
5637145506,attrib_12,94
5637145506,attrib_18,150
5637145506,attrib_9,63
5637145506,attrib_20,17
5637145506,attrib_17,75
5637145506,attrib_16,74
5637145506,attrib_8,74
5637145506,attrib_10,176
5637145506,attrib_21,136
5637145506,attrib_19,111
5637145506,STORE_LOCATION_ATTRIB17,251
5637145506,STORE_LOCATION_ATTRIB18,251
5637145506,STORE_LOCATION_ATTRIB19,251
5637145506,STORE_LOCATION_ATTRIB20,251
5637145506,STORE_LOCATION_ATTRIB21,251
5637145510,attrib_2,120
5637145510,attrib_1,1
5637145510,attrib_11,5
5637145510,attrib_14,184
5637145510,attrib_15,190
5637145510,attrib_13,162
5637145510,attrib_12,94
5637145510,attrib_18,98
5637145510,attrib_9,127
