location_lvl_id1,location_lvl_nm1,location_lvl_desc1,location_lvl_id2,location_lvl_nm2,location_lvl_desc2,location_lvl_id3,location_lvl_nm3,location_lvl_desc3,location_lvl_id4,location_lvl_nm4,location_lvl_desc4,location_lvl_id5,location_lvl_nm5,location_lvl_desc5,location_id,location_nm,location_desc,open_dttm,close_dttm,modified_dttm,delete_flg
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,5637147254,nm 5637147254,desc 5637147254,21JUN2004:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,5637147471,nm 5637147471,desc 5637147471,20FEB2008:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,5637147475,nm 5637147475,desc 5637147475,14SEP2007:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,5637147582,nm 5637147582,desc 5637147582,17AUG2007:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,5637148054,nm 5637148054,desc 5637148054,18APR2005:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,5637148190,nm 5637148190,desc 5637148190,14FEB2006:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,5637148204,nm 5637148204,desc 5637148204,05OCT2005:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,5637148806,nm 5637148806,desc 5637148806,26JUL2011:00:00:00,21APR2019:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,5637149010,nm 5637149010,desc 5637149010,25DEC2010:00:00:00,05JUN2016:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,5637149014,nm 5637149014,desc 5637149014,16NOV2010:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,5637149018,nm 5637149018,desc 5637149018,30AUG2010:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,5637149038,nm 5637149038,desc 5637149038,01JAN1900:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,5637149102,nm 5637149102,desc 5637149102,22OCT2010:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,5637149122,nm 5637149122,desc 5637149122,18SEP2010:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,5637149138,nm 5637149138,desc 5637149138,17JAN2011:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,5637149154,nm 5637149154,desc 5637149154,18NOV2010:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
