PRODUCT_ID,LOCATION_ID,CUSTOMER_ID,DISTR_CHANNEL_ID,start_dt,end_dt,status,MODIFIED_DTTM,delete_flg
8000054507,9000066000,,,01MAY2017,31DEC2154,active,28MAY2021:14:34:36,0
8000054507,9000099755,,,27DEC2017,31DEC2154,active,28MAY2021:14:34:36,0
8000054507,9000102750,,,16JUL2018,31DEC2154,active,28MAY2021:14:34:36,0
8000054507,9000102755,,,10DEC2019,31DEC2154,active,28MAY2021:14:34:36,0
8000054507,9000102760,,,30JUN2018,31DEC2154,active,28MAY2021:14:34:36,0
8000054507,9000103500,,,20APR2018,31DEC2154,active,28MAY2021:14:34:36,0
8000054507,9000111025,,,18MAY2018,31DEC2154,active,28MAY2021:14:34:36,0
8000054507,9000124504,,,01NOV2018,31DEC2154,active,28MAY2021:14:34:36,0
8000054507,9000132750,,,08JUN2019,31DEC2154,active,28MAY2021:14:34:36,0
8000054507,9000132755,,,05MAY2019,31DEC2154,active,28MAY2021:14:34:36,0
8000054507,9000135750,,,27AUG2019,31DEC2154,active,28MAY2021:14:34:36,0
8000054507,9000136500,,,07NOV2019,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,5637144813,,,16JAN2014,22NOV2019,out of sale,28MAY2021:14:34:36,0
8000089444,5637145298,,,15JAN2014,31AUG2019,out of sale,28MAY2021:14:34:36,0
8000089444,5637145298,,,27NOV2019,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,5637145506,,,09JAN2014,26MAY2018,out of sale,28MAY2021:14:34:36,0
8000089444,5637145510,,,17JAN2014,02SEP2020,active,28MAY2021:14:34:36,0
8000089444,5637145514,,,17APR2014,19DEC2018,out of sale,28MAY2021:14:34:36,0
8000089444,5637145681,,,22APR2014,29NOV2019,out of sale,28MAY2021:14:34:36,0
8000089444,5637146282,,,23JAN2014,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,5637146285,,,10JAN2014,01JUN2020,out of sale,28MAY2021:14:34:36,0
8000089444,5637146285,,,31AUG2020,31DEC2154,will be active,28MAY2021:14:34:36,0
8000089444,5637146288,,,16JAN2014,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,5637146297,,,17JAN2014,07AUG2017,out of sale,28MAY2021:14:34:36,0
8000089444,5637146300,,,16APR2014,30JUL2016,out of sale,28MAY2021:14:34:36,0
8000089444,5637146303,,,15JAN2014,02JUN2020,out of sale,28MAY2021:14:34:36,0
8000089444,5637146393,,,17JAN2014,05JAN2020,out of sale,28MAY2021:14:34:36,0
8000089444,5637146393,,,15MAR2020,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,5637147582,,,09JAN2014,28JUL2019,out of sale,28MAY2021:14:34:36,0
8000089444,5637147582,,,01OCT2019,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,5637148054,,,07JAN2014,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,5637148190,,,08JAN2014,15DEC2019,out of sale,28MAY2021:14:34:36,0
8000089444,5637148204,,,09JAN2014,10AUG2019,out of sale,28MAY2021:14:34:36,0
8000089444,5637148806,,,15JAN2014,21APR2019,out of sale,28MAY2021:14:34:36,0
8000089444,5637149010,,,16JAN2014,05JUN2016,out of sale,28MAY2021:14:34:36,0
8000089444,5637149014,,,15OCT2018,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,5637149018,,,26OCT2018,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,5637149102,,,30OCT2015,02SEP2020,active,28MAY2021:14:34:36,0
8000089444,5637149122,,,30OCT2014,02SEP2020,active,28MAY2021:14:34:36,0
8000089444,5637149138,,,28OCT2015,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,5637149154,,,25OCT2015,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,5637149282,,,02MAY2014,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,5637149414,,,15OCT2015,31JUL2019,out of sale,28MAY2021:14:34:36,0
8000089444,5637149414,,,25OCT2019,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,5637149442,,,06JAN2014,28JUN2017,out of sale,28MAY2021:14:34:36,0
8000089444,5637149542,,,25OCT2015,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,5637149835,,,18OCT2015,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,5637150141,,,27OCT2015,02SEP2020,active,28MAY2021:14:34:36,0
8000089444,5637150141,,,01NOV2020,31DEC2154,will be active,28MAY2021:14:34:36,0
8000089444,5637151351,,,21OCT2015,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,5637151675,,,03JUL2014,27JUN2019,out of sale,28MAY2021:14:34:36,0
8000089444,5637151675,,,06SEP2019,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,5637151774,,,29FEB2020,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,7000006770,,,06DEC2015,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,7000010505,,,04JAN2019,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,9000026250,,,11FEB2019,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,9000026255,,,06AUG2019,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,9000048775,,,12FEB2016,25AUG2019,out of sale,28MAY2021:14:34:36,0
8000089444,9000050250,,,05AUG2016,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,9000051000,,,26DEC2018,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,9000099755,,,18SEP2018,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,9000102750,,,13DEC2018,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,9000102755,,,10DEC2019,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,9000102760,,,07FEB2019,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,9000103500,,,08FEB2019,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,9000111025,,,18MAY2018,27MAR2020,out of sale,28MAY2021:14:34:36,0
8000089444,9000124504,,,01NOV2018,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,9000132750,,,08JUN2019,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,9000132755,,,05MAY2019,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,9000135750,,,27AUG2019,31DEC2154,active,28MAY2021:14:34:36,0
8000089444,9000136500,,,07NOV2019,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,5637144625,,,01NOV2019,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,5637145298,,,27NOV2019,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,5637145510,,,14FEB2019,02SEP2020,active,28MAY2021:14:34:36,0
8000105714,5637146282,,,25DEC2018,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,5637146303,,,03NOV2019,02JUN2020,out of sale,28MAY2021:14:34:36,0
8000105714,5637146393,,,02DEC2019,05JAN2020,out of sale,28MAY2021:14:34:36,0
8000105714,5637146393,,,15MAR2020,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,5637147582,,,01OCT2019,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,5637148806,,,14AUG2018,23FEB2019,out of sale,28MAY2021:14:34:36,0
8000105714,5637149014,,,05SEP2019,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,5637149018,,,26DEC2018,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,5637149122,,,21DEC2018,02SEP2020,active,28MAY2021:14:34:36,0
8000105714,5637149138,,,19DEC2018,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,5637149154,,,01NOV2019,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,5637149282,,,12SEP2016,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,5637149414,,,25OCT2019,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,5637149835,,,04NOV2019,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,5637150141,,,01NOV2019,02SEP2020,active,28MAY2021:14:34:36,0
8000105714,5637150141,,,01NOV2020,31DEC2154,will be active,28MAY2021:14:34:36,0
8000105714,5637151675,,,06SEP2019,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,5637151774,,,29FEB2020,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,7000006770,,,29DEC2018,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,7000010505,,,21DEC2018,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,9000026250,,,25DEC2018,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,9000026255,,,14AUG2019,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,9000034500,,,08NOV2019,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,9000048775,,,03OCT2016,25AUG2019,out of sale,28MAY2021:14:34:36,0
8000105714,9000050250,,,17JUL2018,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,9000051000,,,31OCT2019,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,9000099755,,,19DEC2018,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,9000102750,,,08OCT2019,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,9000102755,,,10DEC2019,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,9000102760,,,01NOV2019,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,9000103500,,,19DEC2018,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,9000111025,,,11JUN2019,25MAR2020,out of sale,28MAY2021:14:34:36,0
8000105714,9000124504,,,03OCT2019,31DEC2154,active,28MAY2021:14:34:36,0
8000105714,9000132750,,,08JUN2019,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637144625,,,02JAN2014,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637144813,,,02JAN2014,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637145298,,,29NOV2012,31AUG2019,out of sale,28MAY2021:14:34:36,0
8000145055,5637145298,,,27NOV2019,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637145506,,,23NOV2012,28APR2018,out of sale,28MAY2021:14:34:36,0
8000145055,5637145510,,,04JUN2020,,active,28MAY2021:14:34:36,0
8000145055,5637145514,,,27NOV2012,15FEB2019,out of sale,28MAY2021:14:34:36,0
8000145055,5637145681,,,09NOV2019,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637145838,,,21MAY2013,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637146282,,,29MAR2019,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637146285,,,02JAN2014,01JUN2020,out of sale,28MAY2021:14:34:36,0
8000145055,5637146285,,,31AUG2020,31DEC2154,will be active,28MAY2021:14:34:36,0
8000145055,5637146288,,,02JAN2014,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637146297,,,23NOV2012,21AUG2017,out of sale,28MAY2021:14:34:36,0
8000145055,5637146300,,,23NOV2012,21JUL2016,out of sale,28MAY2021:14:34:36,0
8000145055,5637146303,,,01JAN2014,02JUN2020,out of sale,28MAY2021:14:34:36,0
8000145055,5637146393,,,23NOV2012,05JAN2020,out of sale,28MAY2021:14:34:36,0
8000145055,5637146393,,,15MAR2020,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637147254,,,04JUN2020,,active,28MAY2021:14:34:36,0
8000145055,5637147471,,,02JAN2014,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637147475,,,02JAN2014,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637147582,,,30NOV2012,28JUL2019,out of sale,28MAY2021:14:34:36,0
8000145055,5637147582,,,01OCT2019,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637148054,,,21MAY2013,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637148190,,,04JUN2020,,active,28MAY2021:14:34:36,0
8000145055,5637148204,,,23NOV2012,01SEP2019,out of sale,28MAY2021:14:34:36,0
8000145055,5637148204,,,06NOV2019,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637148806,,,23NOV2012,15APR2019,out of sale,28MAY2021:14:34:36,0
8000145055,5637149010,,,28NOV2012,04JUN2016,out of sale,28MAY2021:14:34:36,0
8000145055,5637149014,,,23AUG2019,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637149018,,,23AUG2019,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637149102,,,21MAY2013,02SEP2020,active,28MAY2021:14:34:36,0
8000145055,5637149122,,,04JUN2020,,active,28MAY2021:14:34:36,0
8000145055,5637149138,,,21AUG2018,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637149154,,,28JAN2014,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637149238,,,23AUG2019,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637149282,,,29MAR2019,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637149414,,,29MAR2019,31JUL2019,out of sale,28MAY2021:14:34:36,0
8000145055,5637149414,,,25OCT2019,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637149442,,,23OCT2015,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637149542,,,28MAY2014,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637149835,,,04JUN2020,,active,28MAY2021:14:34:36,0
8000145055,5637149921,,,09AUG2014,01AUG2020,active,28MAY2021:14:34:36,0
8000145055,5637150141,,,27AUG2015,02SEP2020,active,28MAY2021:14:34:36,0
8000145055,5637151351,,,23JUL2014,31DEC2154,active,28MAY2021:14:34:36,0
8000145055,5637151675,,,20JUN2013,27JUN2019,out of sale,28MAY2021:14:34:36,0
