PRODUCT_ID,PRODUCT_ATTR_NAME,PRODUCT_ATTR_VALUE
8000054507,attrib_29,53
8000054507,attrib_23,13
8000054507,attrib_28,54
8000054507,attrib_24,67
8000054507,attrib_22,12
8000054507,attrib_30,1
8000054507,attrib_1,24
8000054507,attrib_2,31
8000054507,attrib_3,44
8000054507,attrib_4,24
8000054507,attrib_5,51
8000054507,attrib_6,24
8000054507,attrib_7,31
8000054507,attrib_8,53
8000054507,attrib_9,53
8000054507,attrib_10,46
8000054507,attrib_11,69
8000054507,attrib_12,42
8000054507,attrib_13,34
8000054507,attrib_14,40
8000054507,attrib_15,41
8000054507,attrib_16,59
8000054507,attrib_27,31
8000054507,attrib_26,54
8000054507,attrib_25,4
8000054507,attrib_31,44
8000054507,PRODUCT_ATTRIB27,69
8000054507,PRODUCT_ATTRIB28,69
8000054507,PRODUCT_ATTRIB29,69
8000054507,PRODUCT_ATTRIB30,69
8000054507,PRODUCT_ATTRIB31,69
8000089444,attrib_29,53
8000089444,attrib_23,8
8000089444,attrib_28,54
8000089444,attrib_24,67
8000089444,attrib_22,15
8000089444,attrib_30,2
8000089444,attrib_1,24
8000089444,attrib_2,16
8000089444,attrib_3,44
8000089444,attrib_4,24
8000089444,attrib_5,63
8000089444,attrib_6,24
8000089444,attrib_7,16
8000089444,attrib_8,53
8000089444,attrib_9,53
8000089444,attrib_10,46
8000089444,attrib_11,69
8000089444,attrib_12,42
8000089444,attrib_13,34
8000089444,attrib_14,38
8000089444,attrib_15,41
8000089444,attrib_16,59
8000089444,attrib_27,16
8000089444,attrib_26,54
8000089444,attrib_25,7
8000089444,attrib_31,44
8000089444,PRODUCT_ATTRIB27,69
8000089444,PRODUCT_ATTRIB28,69
8000089444,PRODUCT_ATTRIB29,69
8000089444,PRODUCT_ATTRIB30,69
8000089444,PRODUCT_ATTRIB31,69
8000105714,attrib_29,53
8000105714,attrib_23,29
8000105714,attrib_28,54
8000105714,attrib_24,65
8000105714,attrib_22,17
8000105714,attrib_30,2
8000105714,attrib_1,24
8000105714,attrib_2,33
8000105714,attrib_3,44
8000105714,attrib_4,24
8000105714,attrib_5,63
8000105714,attrib_6,24
8000105714,attrib_7,33
8000105714,attrib_8,53
8000105714,attrib_9,53
8000105714,attrib_10,46
8000105714,attrib_11,69
8000105714,attrib_12,42
8000105714,attrib_13,20
8000105714,attrib_14,21
8000105714,attrib_15,41
8000105714,attrib_16,61
8000105714,attrib_27,33
8000105714,attrib_26,54
8000105714,attrib_25,5
8000105714,attrib_31,44
8000105714,PRODUCT_ATTRIB27,69
8000105714,PRODUCT_ATTRIB28,69
8000105714,PRODUCT_ATTRIB29,69
8000105714,PRODUCT_ATTRIB30,69
8000105714,PRODUCT_ATTRIB31,69
8000145055,attrib_29,53
8000145055,attrib_23,10
8000145055,attrib_28,54
8000145055,attrib_24,64
8000145055,attrib_22,18
8000145055,attrib_30,2
8000145055,attrib_1,24
8000145055,attrib_2,37
8000145055,attrib_3,44
8000145055,attrib_4,24
8000145055,attrib_5,50
8000145055,attrib_6,24
8000145055,attrib_7,37
8000145055,attrib_8,44
8000145055,attrib_9,28
8000145055,attrib_10,43
8000145055,attrib_11,69
8000145055,attrib_12,42
8000145055,attrib_13,30
8000145055,attrib_14,22
8000145055,attrib_15,41
8000145055,attrib_16,62
8000145055,attrib_27,9
8000145055,attrib_26,54
8000145055,attrib_25,48
8000145055,attrib_31,44
8000145055,PRODUCT_ATTRIB27,69
8000145055,PRODUCT_ATTRIB28,69
8000145055,PRODUCT_ATTRIB29,69
8000145055,PRODUCT_ATTRIB30,69
8000145055,PRODUCT_ATTRIB31,69
9000242403,attrib_29,53
9000242403,attrib_23,36
9000242403,attrib_28,54
9000242403,attrib_24,35
9000242403,attrib_22,18
9000242403,attrib_30,2
9000242403,attrib_1,32
9000242403,attrib_2,37
9000242403,attrib_3,53
9000242403,attrib_4,24
9000242403,attrib_5,50
9000242403,attrib_6,32
9000242403,attrib_7,37
