PRODUCT_ID,LOCATION_ID,PERIOD_DT,STOCK_QTY,MODIFIED_DTTM,DELETE_FLG
8000054507,5637146303,16MAY2020,1802,28MAY2021:14:34:35,0
8000054507,5637146303,26MAY2020,1799,28MAY2021:14:34:35,0
8000089444,5637146303,24MAY2020,80,28MAY2021:14:34:35,0
8000054507,5637146303,12MAY2020,1806,28MAY2021:14:34:35,0
8000054507,5637146303,11MAY2020,1807,28MAY2021:14:34:35,0
8000089444,5637146303,25MAY2020,78,28MAY2021:14:34:35,0
8000054507,5637146303,21MAY2020,1800,28MAY2021:14:34:35,0
8000054507,5637146303,15MAY2020,1805,28MAY2021:14:34:35,0
9000400501,5637146288,15MAY2020,841,28MAY2021:14:34:35,0
9000400501,9000066000,24MAY2020,496,28MAY2021:14:34:35,0
9000400501,5637146288,01MAY2020,847,28MAY2021:14:34:35,0
9000400501,9000066000,30MAY2020,495,28MAY2021:14:34:35,0
9000400501,9000066000,15MAY2020,497,28MAY2021:14:34:35,0
8000054507,5637148204,09MAR2020,1,28MAY2021:14:34:35,0
8000054507,9000051000,05MAR2020,1,28MAY2021:14:34:35,0
8000054507,5637145510,26MAR2020,1,28MAY2021:14:34:35,0
8000054507,5637149238,09MAR2020,2,28MAY2021:14:34:35,0
8000089444,9000050250,24MAR2020,0,28MAY2021:14:34:35,0
8000089444,9000050250,27MAR2020,0,28MAY2021:14:34:35,0
8000089444,5637145510,27MAR2020,0,28MAY2021:14:34:35,0
8000089444,7000010505,02MAR2020,0,28MAY2021:14:34:35,0
8000054507,5637147582,16MAR2020,0,28MAY2021:14:34:35,0
9000271526,5637151774,01MAR2020,0,28MAY2021:14:34:35,0
8000054507,9000051000,06MAR2020,0,28MAY2021:14:34:35,0
8000054507,9000124504,02MAR2020,7,28MAY2021:14:34:35,0
8000089444,5637149282,19MAR2020,9,28MAY2021:14:34:35,0
8000089444,9000050250,08MAR2020,10,28MAY2021:14:34:35,0
8000054507,5637149154,05MAR2020,10,28MAY2021:14:34:35,0
8000054507,9000050250,02MAR2020,11,28MAY2021:14:34:35,0
8000089444,9000124504,20MAR2020,2,28MAY2021:14:34:35,0
9000271526,5637146393,12MAR2020,12,28MAY2021:14:34:35,0
